investigation_id,audit_question,investigation_type,status,created_date,completed_date,scope_period_start,scope_period_end,created_by_employee_id
INV-00001,Which high-risk or critical-risk vendors have received payments in the past 12 months?,VENDOR_RISK_ASSESSMENT,COMPLETED,2022-08-21,2022-09-23,2021-10-04,2022-08-06,EMP-38233
INV-00002,Are there transactions to the same beneficiary from multiple employees?,CONTRACT_AUDIT,IN_PROGRESS,2023-09-05,,2021-11-18,2023-08-06,EMP-35091
INV-00003,Which transactions exhibit patterns consistent with split payment fraud?,VENDOR_RISK_ASSESSMENT,COMPLETED,2021-11-20,2022-02-08,2020-04-11,2021-11-19,EMP-16896
INV-00004,Are there expense claims approved by the submitting employee (self-approval)?,FINANCIAL_INVESTIGATION,ON_HOLD,2021-10-28,,2021-01-26,2021-10-12,EMP-21257
INV-00005,Which transactions exceeded the approval authority limits of the authorising officer?,EXPENSE_AUDIT,COMPLETED,2021-06-14,2021-10-01,2019-12-26,2021-05-20,EMP-2924
INV-00006,Which vendors received payments after their compliance certificate expired?,FRAUD_INVESTIGATION,IN_PROGRESS,2022-01-10,,2021-06-12,2022-01-08,EMP-38093
INV-00007,Which vendors have not completed mandatory compliance assessments?,EXPENSE_AUDIT,COMPLETED,2023-08-27,2023-11-06,2023-05-11,2023-08-22,EMP-72607
INV-00008,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,COMPLIANCE_REVIEW,COMPLETED,2024-02-26,2024-04-28,2022-06-19,2024-02-22,EMP-31668
INV-00009,Which transactions exceeded the approval authority limits of the authorising officer?,EXPENSE_AUDIT,COMPLETED,2022-04-22,2022-07-21,2021-12-28,2022-04-18,EMP-1503
INV-00010,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,POLICY_BREACH_REVIEW,OPEN,2021-11-19,,2020-08-31,2021-10-26,EMP-9213
INV-00011,Are there transactions approved by employees whose authority limit was insufficient?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2023-12-21,,2022-10-17,2023-11-22,EMP-21847
