finding_id,investigation_id,severity,category,description,confidence_score,status,created_at,validated_at
FND-000001,INV-00449,HIGH,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0006 requires receipts for all claims above $200.,0.774,FALSE_POSITIVE,2024-03-05,2024-03-19
FND-000002,INV-00008,MEDIUM,VENDOR_RISK,"Vendor XcelPath Networks Group holds CRITICAL risk rating. 8 payments totalling $4,062 processed in the audit period.",0.533,RESOLVED,2022-09-22,
FND-000003,INV-00339,MEDIUM,POLICY_BREACH,"Expense claim of $312,255 for Software exceeds the policy maximum of $5,000. Overage: $38,926.",0.479,RESOLVED,2024-12-17,2024-12-21
FND-000004,INV-00158,CRITICAL,VENDOR_RISK,"BLACKLISTED vendor VND-VND-02359 received payment of $470,138 via contract CON-102952 that was not updated following blacklisting.",0.972,OPEN,2024-07-09,2024-07-30
FND-000005,INV-00400,MEDIUM,EXPIRED_COMPLIANCE,"Payment of $28,357 released to Epsilon_Group Group whose GDPR compliance expired 175 days before payment date.",0.452,OPEN,2022-07-27,2022-08-24
FND-000006,INV-00016,MEDIUM,VENDOR_RISK,"BLACKLISTED vendor VND-VND-00895 received payment of $441,028 via contract CON-106850 that was not updated following blacklisting.",0.729,OPEN,2024-02-23,2024-03-11
FND-000007,INV-00279,MEDIUM,MISSING_RECEIPT,"Employee EMP-85842 submitted 8 claims totalling $4,121 without receipts in the review period.",0.599,VALIDATED,2021-07-16,2021-07-29
FND-000008,INV-00242,MEDIUM,VENDOR_RISK,"BLACKLISTED vendor VND-VND-00802 received payment of $367,604 via contract CON-106103 that was not updated following blacklisting.",0.525,OPEN,2024-02-22,2024-03-21
FND-000009,INV-00488,HIGH,EXPIRED_COMPLIANCE,"Payment of $406,243 released to DawnTech Services Holdings whose PCI-DSS compliance expired 406 days before payment date.",0.745,RESOLVED,2023-01-03,
FND-000010,INV-00097,MEDIUM,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0014 requires receipts for all claims above $50.,0.416,OPEN,2022-09-19,2022-10-18
FND-000011,INV-00260,HIGH,POLICY_BREACH,Employee submitted Office Supplies claim 9% above the authorised policy limit without prior exception approval.,0.641,OPEN,2021-10-20,2021-11-12
FND-000012,INV-00013,CRITICAL,VENDOR_RISK,"High-risk vendor TrueNorth Services Holdings has no compliance record on file. Payment of $343,856 released without compliance clearance.",0.89,RESOLVED,2023-06-01,
FND-000013,INV-00299,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $255,474 was approved at L3 without L4 countersignature.",0.747,RESOLVED,2024-04-22,2024-04-26
FND-000014,INV-00494,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-04160 received payment of $491,648 on 2022-12-08. Compliance certificate expired on 2021-05-10 — 183 days prior.",0.509,OPEN,2022-06-30,2022-07-15
FND-000015,INV-00406,HIGH,VENDOR_RISK,"High-risk vendor HorizonEdge Inc International has no compliance record on file. Payment of $195,578 released without compliance clearance.",0.811,VALIDATED,2023-11-12,2023-11-14
FND-000016,INV-00281,MEDIUM,FRAUD_PATTERN,Transaction routed through 4 intermediate accounts before reaching final beneficiary. Unusual for CASH_OUT transaction type.,0.726,RESOLVED,2023-08-28,2023-08-30
FND-000017,INV-00016,MEDIUM,APPROVAL_LIMIT,"Payment of $148,067 approved at Level 1, which has a limit of $25,000. Transaction exceeded limit by $14,297.",0.507,OPEN,2024-02-12,2024-03-09
FND-000018,INV-00255,LOW,VENDOR_RISK,"BLACKLISTED vendor VND-VND-04104 received payment of $391,496 via contract CON-108657 that was not updated following blacklisting.",0.309,RESOLVED,2023-12-10,2023-12-18
FND-000019,INV-00154,MEDIUM,MISSING_RECEIPT,"Reimbursement of $35,550 for Equipment was approved despite no receipt documentation in the system.",0.643,OPEN,2024-03-13,2024-03-21
