compliance_id,vendor_id,framework,status,assessment_date,expiry_date,assessed_by,findings_summary,document_ref
CMP-000001,VND-01121,PCI-DSS,PENDING,2020-06-14,2021-09-28,Lynn Daneault,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-KF8474
CMP-000002,VND-04871,ISO 9001,COMPLIANT,2022-01-11,2022-11-08,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-PT1634
CMP-000003,VND-04518,SOC 2 Type II,PENDING,2022-08-27,2024-01-01,Lynn Daneault,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-DT3031
CMP-000004,VND-01384,PCI-DSS,COMPLIANT,2020-01-08,2021-07-22,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-XY1663
CMP-000005,VND-01021,ISO 9001,COMPLIANT,2020-10-25,2022-04-29,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-RX6228
CMP-000006,VND-00829,ISO 27001,PENDING,2022-02-06,2023-01-18,Lynn Daneault,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-WA5414
CMP-000007,VND-02123,PCI-DSS,COMPLIANT,2022-03-11,2022-10-28,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-YJ8579
CMP-000008,VND-02827,GDPR,COMPLIANT,2020-05-29,2021-11-24,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-WG2951
CMP-000009,VND-01590,GDPR,COMPLIANT,2019-11-10,2021-04-06,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-BF0848
CMP-000010,VND-04729,ISO 9001,COMPLIANT,2023-03-02,2024-03-06,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-VQ0660
CMP-000011,VND-00430,GDPR,COMPLIANT,2022-08-08,2024-04-15,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-SA0260
CMP-000012,VND-03081,ISO 9001,COMPLIANT,2019-03-26,2020-04-07,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-QN9017
CMP-000013,VND-01379,GDPR,COMPLIANT,2020-10-10,2021-08-13,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-GU5389
CMP-000014,VND-01875,GDPR,COMPLIANT,2022-08-12,2023-09-07,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-EB6244
CMP-000015,VND-01725,SOC 2 Type II,COMPLIANT,2020-01-08,2020-08-31,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-IS6678
CMP-000016,VND-04040,PCI-DSS,COMPLIANT,2023-03-19,2024-10-28,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-EB5732
CMP-000017,VND-04933,SOC 2 Type II,COMPLIANT,2024-01-05,2025-09-19,Lynn Daneault,No material findings. All controls assessed as effective.,COMP-DOC-JN5024
CMP-000018,VND-01879,ISO 27001,COMPLIANT,2024-03-29,2024-11-11,Debra Houlihan,No material findings. All controls assessed as effective.,COMP-DOC-RV8935
CMP-000019,VND-01766,SOC 2 Type II,COMPLIANT,2021-02-21,2022-03-01,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-ZE4071
CMP-000020,VND-02217,HIPAA,COMPLIANT,2021-04-25,2022-01-17,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-HX0729
CMP-000021,VND-03064,GDPR,COMPLIANT,2019-07-29,2021-03-01,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-WO0230
CMP-000022,VND-03519,ISO 27001,COMPLIANT,2021-06-13,2022-09-09,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-GQ0667
CMP-000023,VND-00487,CMMC,PENDING,2020-07-17,2021-06-28,EY Compliance,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-QM8533
CMP-000024,VND-00088,ISO 27001,COMPLIANT,2022-07-07,2023-01-11,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-DK1714
CMP-000025,VND-01014,SOX,COMPLIANT,2024-01-20,2025-01-10,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-KK5541
CMP-000026,VND-03488,SOC 2 Type II,EXPIRED,2021-03-21,2023-06-30,KPMG Assurance,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-LK8249
CMP-000027,VND-04701,SOC 2 Type II,COMPLIANT,2019-06-26,2020-09-22,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-EW0288
CMP-000028,VND-00496,GDPR,COMPLIANT,2020-07-25,2022-01-03,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-RW2089
CMP-000029,VND-02266,GDPR,EXPIRED,2021-08-15,2021-11-07,PwC Compliance Team,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-JA2176
CMP-000030,VND-04940,ISO 27001,NON_COMPLIANT,2024-01-06,2025-05-18,RSM Risk Advisory,Critical control gap identified in access management procedures.,COMP-DOC-BK1269
CMP-000031,VND-02108,ISO 27001,COMPLIANT,2021-01-31,2022-04-25,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-EV5050
CMP-000032,VND-01701,SOC 2 Type II,COMPLIANT,2024-05-28,2025-12-04,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-EO3249
CMP-000033,VND-03136,SOX,NON_COMPLIANT,2020-01-21,2022-10-25,Alex Sweetwater,Incident response plan not tested within required 12-month window.,COMP-DOC-PS9430
CMP-000034,VND-02422,PCI-DSS,COMPLIANT,2023-12-02,2025-07-29,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-FQ2502
CMP-000035,VND-01257,ISO 9001,COMPLIANT,2021-11-16,2022-10-17,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-JO9623
CMP-000036,VND-03804,ISO 27001,COMPLIANT,2020-04-17,2021-09-04,Grant Thornton,No material findings. All controls assessed as effective.,COMP-DOC-WR8440
CMP-000037,VND-03350,HIPAA,COMPLIANT,2023-02-24,2024-06-21,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-QN3765
CMP-000038,VND-02930,SOX,COMPLIANT,2024-01-30,2024-11-08,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-JU9994
CMP-000039,VND-03816,GDPR,COMPLIANT,2022-05-02,2023-09-06,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-MO8580
CMP-000040,VND-03697,PCI-DSS,COMPLIANT,2023-05-25,2025-03-18,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-GS0864
CMP-000041,VND-02982,SOC 2 Type II,COMPLIANT,2022-12-19,2024-11-09,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-LP8632
CMP-000042,VND-00422,PCI-DSS,COMPLIANT,2019-10-11,2021-08-10,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-VD0850
CMP-000043,VND-00720,ISO 27001,COMPLIANT,2022-07-15,2023-09-19,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-VL4871
CMP-000044,VND-02270,PCI-DSS,EXPIRED,2022-12-04,2021-08-18,Amy Dunn,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-IN0518
CMP-000045,VND-02737,ISO 27001,COMPLIANT,2021-08-21,2022-09-17,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-DN7721
